postać_a,postać_b,siła relacji
RICHIE,TOBACK,12
FRANK,TEDDY,10
ANA,FRANK,9
RICHIE,SPEARMAN,7
RICHIE,RIVERA,6
CHARLIE,FRANK,5
FRANK,RICHIE,5
FRANK,TOSCA,5
DOC,FRANK,4
JONES,RICHIE,4
FRANK,TRUPO,3
FRANK,TANGO,3
RICHIE,TOSCA,3
FRANK,MRS. LUCAS,3
FRANK,NATE,3
RICHIE,SHEILA,3
REPORTER ON TV,RICHIE,3
BANKER,FRANK,2
ABRUZZO,SPEARMAN,2
ABRUZZO,JONES,2
JONES,SPEARMAN,2
BAILIFF,RICHIE,2
BANKER,CHARLIE,2
ABRUZZO,RICHIE,2
JIMMY,TEDDY,2
JIMMY,RICHIE,2
LAURIE,RICHIE,2
RICHIE,TRUPO,2
FRANK,JIMMY,2
RICHIE,TONY,2
FRANK,GENERAL,2
BANKER,TOSCA,1
BANKER,SIBOTA,1
BANKER,TANGO,1
BANKER,TEDDY,1
BANKER,RICHIE,1
BANKER,DETECTIVE,1
BANKER,JIMMY,1
BANKER,REPORTER ON TV,1
BANKER,PROFESSOR,1
ABRUZZO,KA 760 -,1
ANA,MRS. LUCAS,1
ANA,CONTINUED:,1
ABRUZZO,JIMMY,1
ANA,TOSCA,1
ANA,TEDDY,1
ANA,MRS. TOSCA,1
ANA,TRUPO,1
BAILIFF,LAURIE,1
ARMY CAPTAIN,RICHIE,1
BAILIFF,SHEILA,1
ANA,DOC,1
CONTINUED:,RICHIE,1
CONTINUED:,REPORTER ON TV,1
CONTINUED:,MRS. LUCAS,1
CONTINUED:,FRANK,1
COLONEL,NATE,1
COLONEL,GENERAL,1
COLONEL,FRANK,1
CLERK,RIVERA,1
CLERK,RICHIE,1
CHEMIST,FRANK,1
CHARLIE,TOSCA,1
CHARLIE,TEDDY,1
CHARLIE,TANGO,1
CHARLIE,SINGER,1
CHARLIE,SIBOTA,1
CHARLIE,RICHIE,1
CHARLIE,REPORTER ON TV,1
CHARLIE,PROFESSOR,1
CHARLIE,JIMMY,1
CHARLIE,DETECTIVE,1
CAMPIZI,RICHIE,1
CHARLENE,FRANK,1
BUMPY,FRANK,1
FRANK,GANGSTA 2,1
FBI AGENT,SPEARMAN,1
FBI AGENT,RICHIE,1
FBI AGENT,MAN,1
DISPATCHER,RIVERA,1
DETECTIVE,TEDDY,1
FRANK,GANGSTA 1,1
DETECTIVE,FRANK,1
CONTINUED:,TOBACK,1
FRANK,ROSSI,1
FRANK,REPORTER ON TV,1
FRANK,REDTOP,1
FRANK,RED TOP,1
FRANK,MRS. TOSCA,1
FRANK,PROFESSOR,1
FRANK,JACKIE,1
FRANK,JOE LOUIS,1
FRANK,SPEARMAN,1
FRANK,STEVIE,1
FRANK,TOBACK,1
FRANK,THAI,1
FRANK,SINGER,1
FRANK,SIBOTA,1
FRANK,SERVICEMAN 1,1
FRANK,SERVICEMAN 2,1
GANGSTA 2,RICHIE,1
GANGSTA 1,RICHIE,1
GANGSTA 1,GANGSTA 2,1
FRANK,TURNER,1
JIMMY,KA 760 -,1
JIMMY,JONES,1
GENERAL,NATE,1
FBI AGENT,TOBACK,1
DETECTIVE,RICHIE,1
DETECTIVE,SIBOTA,1
DISPATCHER,RICHIE,1
DARYLYNN,JIMMY,1
DETECTIVE,MEDICAL EXAMINER,1
DETECTIVE,REPORTER,1
DETECTIVE,REPORTER ON TV,1
DETECTIVE,JIMMY,1
KA 760 -,SPEARMAN,1
KA 760 -,RICHIE,1
JUDGE,RICHIE,1
JONES,KA 760 -,1
JOE LOUIS,RICHIE,1
JOE LOUIS,TOSCA,1
JIMMY,SIBOTA,1
JIMMY,SPEARMAN,1
GUY WITH GUN,SPEARMAN,1
MRS. LUCAS,TOBACK,1
MRS. TOSCA,TOSCA,1
NATE,THAI,1
MEDICAL EXAMINER,RICHIE,1
KA 760.,TEDDY,1
MAN,RICHIE,1
MAN,SPEARMAN,1
PROFESSOR,TANGO,1
PROFESSOR,RICHIE,1
PROFESSOR,REPORTER ON TV,1
PARAMEDIC,RICHIE,1
REPORTER,REPORTER ON TV,1
PROFESSOR,TOSCA,1
RED TOP,SERVICEMAN 2,1
RED TOP,SERVICEMAN 1,1
REPORTER ON TV,TOBACK,1
REPORTER ON TV,TANGO,1
REPORTER,RICHIE,1
REPORTER ON TV,TOSCA,1
MAN,TOBACK,1
MECHANIC,RICHIE,1
MEDICAL EXAMINER,REPORTER,1
MEDICAL EXAMINER,REPORTER ON TV,1
RICHIE,SPEARMAN V/O PHONE,1
RICHIE,SIU DET. 2,1
RICHIE,SIU DET. 1,1
RICHIE,SIU DET 1,1
RICHIE,TANGO,1
RICHIE,TAXI DRIVER,1
RICHIE,US ATTORNEY,1
RICHIE,VIDA,1
SERVICEMAN 1,SERVICEMAN 2,1
SHEILA,SPEARMAN V/O PHONE,1
SIBOTA,TEDDY,1
SIU DET 1,SIU DET. 1,1
SIU DET 1,SIU DET. 2,1
SIU DET 1,TOBACK,1
SIU DET 1,TRUPO,1
SIU DET. 1,SIU DET. 2,1
SIU DET. 1,TOBACK,1
SIU DET. 1,TRUPO,1
SIU DET. 2,TOBACK,1
SIU DET. 2,TRUPO,1
SPEARMAN,TOBACK,1
SPEARMAN,TOSCA,1
SPEARMAN,TRUPO,1
STEVIE,TEDDY,1
TANGO,TOSCA,1
TEDDY,TRUPO,1
TOBACK,TONY,1
TOBACK,TRUPO,1
TOBACK,US ATTORNEY,1
TOBACK,VIDA,1
TONY,VIDA,1
TOSCA,TRUPO,1
